index,common.name,Citation,occurrence,total.sample.size,ocean,years,year.start.x,year.end.x,decade max,decamde min,decade middle,IUCN.red.list..search.paper.clasifying.ocean.,species,Latitude..decimal.final.,Longitud..degrees.final.
176,Leatherback turtle ,"(S. S. Sadove & Morreale, 1990)",10,33,Natl,11.00547945,01/01/1978,31/12/1988,70,90,80,vu,"Dermochelys coriacea (Vandelli, 1761)",40.19805556,-73.27638889
191,scalloped hammerhead ,"(Cliff et al., 2002)",2,1916,Ind,23.01369863,01/01/1978,31/12/2000,70,100,90,cr,"Sphyrna lewini (Griffith & Smith, 1834)",-30,31
192,shortfin mako shark ,"(Cliff et al., 2002)",2,231,Ind,22.09589041,01/01/1978,31/01/2000,70,100,90,en,"Isurus oxyrinchus (Rafinesque, 1810)",-30,31
216,Sperm whale ,"(S. S. Sadove & Morreale, 1990)",3,8,Natl,11.00547945,01/01/1978,31/12/1988,70,80,80,vu,"Physeter macrocephalus (Linnaeus, 1758)",40.19805556,-73.27638889
220,Tiger sharks ,"(Cliff et al., 2002)",38,505,Ind,23.01369863,01/01/1978,31/12/2000,70,100,90,nt,"Galeocerdo cuvier (Péron & LeSueur, 1822)",-30,31
83,Green turtle,"(Hays-Brown & Brown, 1982)",9,39,Spac,1,01/01/1979,01/01/1980,70,80,80,en,"Chelonia mydas (Linnaeus, 1758)",-13.72222222,-76.22388889
206,Sperm whale ,"(Baulch & Perry, 2014)",1,38,Npac and Natl,1,01/01/1979,01/01/1980,70,80,80,vu,"Physeter macrocephalus (Linnaeus, 1758)",,NA
229,White-faced Storm-petrel ,"(Ryan, 1987)",21,24,Satl,7.002739726,01/01/1979,31/12/1985,70,80,80,lc,"Pelagodroma marina (Latham, 1790)",-42.17444444,13.31194444
148,Leatherback turtle ,"(Cawthorn, 1985)",1,6,Spac,1.254794521,01/06/1979,01/09/1980,70,80,80,vu,"Dermochelys coriacea (Vandelli, 1761)",-41.30138889,171.0811111
111,Green turtle,"(Witzell & Teas, 1994)",0,16,Natl,13.00821918,01/01/1980,31/12/1992,80,90,80,en,"Chelonia mydas (Linnaeus, 1758)",18.52111111,-65.20277778
112,Green turtle,"(Witzell & Teas, 1994)",2,14,Natl,13.00821918,01/01/1980,31/12/1992,80,90,80,en,"Chelonia mydas (Linnaeus, 1758)",34.89055556,-74.29416667
113,Green turtle,"(Witzell & Teas, 1994)",30,178,Natl,13.00821918,01/01/1980,31/12/1992,80,90,80,en,"Chelonia mydas (Linnaeus, 1758)",28.76277778,-78.57194444
114,Green turtle,"(Witzell & Teas, 1994)",8,70,Natl,13.00821918,01/01/1980,31/12/1992,80,90,80,en,"Chelonia mydas (Linnaeus, 1758)",26.80111111,-91.08388889
129,Hawksbill turtle ,"(Witzell & Teas, 1994)",0,13,Natl,13.00821918,01/01/1980,31/12/1992,80,90,80,cr,"Eretmochelys imbricata (Linneaus, 1766)",18.52111111,-65.20277778
130,Hawksbill turtle ,"(Witzell & Teas, 1994)",2,6,Natl,13.00821918,01/01/1980,31/12/1992,80,90,80,cr,"Eretmochelys imbricata (Linneaus, 1766)",28.76277778,-78.57194444
131,Hawksbill turtle ,"(Witzell & Teas, 1994)",7,12,Natl,13.00821918,01/01/1980,31/12/1992,80,90,80,cr,"Eretmochelys imbricata (Linneaus, 1766)",26.80111111,-91.08388889
155,Leatherback turtle ,"(Gerle & DiGiovanni, 1998)",15,202,Natl,17.0109589,01/01/1980,31/12/1996,80,90,80,vu,"Dermochelys coriacea (Vandelli, 1761)",40.61166667,-72.89944444
169,Leatherback turtle ,"(Mrosovsky et al., 2009)",27,79,Natl,26.01643836,01/01/1980,31/12/2005,80,100,90,vu,"Dermochelys coriacea (Vandelli, 1761)",40.61166667,-72.89944444
178,Leatherback turtle ,"(Witzell & Teas, 1994)",0,1,Natl,13.00821918,01/01/1980,31/12/1992,80,90,80,vu,"Dermochelys coriacea (Vandelli, 1761)",18.52111111,-65.20277778
179,Leatherback turtle ,"(Witzell & Teas, 1994)",1,9,Natl,13.00821918,01/01/1980,31/12/1992,80,90,80,vu,"Dermochelys coriacea (Vandelli, 1761)",26.80111111,-91.08388889
180,Leatherback turtle ,"(Witzell & Teas, 1994)",10,89,Natl,13.00821918,01/01/1980,31/12/1992,80,90,80,vu,"Dermochelys coriacea (Vandelli, 1761)",34.89055556,-74.29416667
181,Leatherback turtle ,"(Witzell & Teas, 1994)",3,17,Natl,13.00821918,01/01/1980,31/12/1992,80,90,80,vu,"Dermochelys coriacea (Vandelli, 1761)",28.76277778,-78.57194444
238,Yellowfin tuna ,"(Manooch & Mason, 1983)",8,196,Natl,2.249315068,01/04/1980,01/07/1982,80,80,80,lc,Thunnus albacares ,28.89472222,-78.77805556
225,Tiger sharks ,"(Stevens & McLoughlin, 1991)",1,98,Ind,7.336986301,01/06/1980,01/10/1987,80,80,80,nt,"Galeocerdo cuvier (Péron & LeSueur, 1822)",-12.5025,130.8463889
52,Gervais’ beaked whale ,"(Walker & Coe, 1989)",2,2,Natl,3.098630137,22/11/1980,28/12/1983,80,80,80,lc,"Mesoplodon europaeus (Gervais, 1855)",35.20944444,-75.68277778
147,Leatherback turtle ,"(Casale et al., 2003)",1,20,Med,20.0109589,01/01/1981,31/12/2000,80,100,90,vu,"Dermochelys coriacea (Vandelli, 1761)",40.89583333,13.44305556
223,Tiger sharks ,"(Schwartz, 2000)",3,116,Natl,15.00821918,01/01/1982,31/12/1996,80,90,80,nt,"Galeocerdo cuvier (Péron & LeSueur, 1822)",33.87277778,-78.33805556
159,Leatherback turtle ,"(Margaritoulis, 1986)",1,11,Med,2.750684932,01/02/1982,01/11/1984,80,80,80,vu,"Dermochelys coriacea (Vandelli, 1761)",37.34694444,23.96638889
153,Leatherback turtle ,"(G. H. Balazs, 1985)",11,15,Natl,1.10E-02,01/07/1982,05/07/1982,80,80,80,vu,"Dermochelys coriacea (Vandelli, 1761)",40.64472222,-72.99861111
152,Leatherback turtle ,"(Duguy, 1983)",1,6,Natl,1,01/01/1983,01/01/1984,80,80,80,vu,"Dermochelys coriacea (Vandelli, 1761)",45.83555556,-2.504166667
221,Tiger sharks ,"(Dicken et al., 2017)",40,612,Ind,32.01917808,01/01/1983,31/12/2014,80,110,90,nt,"Galeocerdo cuvier (Péron & LeSueur, 1822)",-30,31
162,Leatherback turtle ,"(Mrosovsky et al., 2009)",0,7,Natl,23.01643836,01/08/1983,01/08/2006,80,100,90,vu,"Dermochelys coriacea (Vandelli, 1761)",37.03944444,-75.61861111
10,Band-rumped Storm petrel,"(Ainley et al., 1990)",0,8,Spac,5.002739726,01/01/1984,31/12/1988,80,80,80,lc,"Hydrobates castro (del Hoyo and Collar 2014)/Oceanodroma castro (Harcourt, 1851)",10,-120
13,Band-rumped Storm petrel,"(Spear et al., 1995)",0,7,Npac and Spac,8.002739726,01/01/1984,31/12/1991,80,90,80,lc,"Hydrobates castro (del Hoyo and Collar 2014)/Oceanodroma castro (Harcourt, 1851)",0,-135
19,Black noddy ,"(Spear et al., 1995)",0,3,Npac and Spac,8.002739726,01/01/1984,31/12/1991,80,90,80,lc,"Anous minutus (Boie, 1844)",0,-135
36,Brown booby  ,"(Spear et al., 1995)",0,5,Npac and Spac,8.002739726,01/01/1984,31/12/1991,80,90,80,lc,"Sula leucogaster (Boddaert, 1783)",0,-135
48,Fairy tern (aka White tern) ,"(Spear et al., 1995)",1,8,Npac and Spac,8.002739726,01/01/1984,31/12/1991,80,90,80,lc,"Gygis alba (Sparrman, 1786)",0,-135
135,Leach’s strom petrel ,"(Ainley et al., 1990)",44,151,Spac,5.002739726,01/01/1984,31/12/1988,80,80,80,vu,"Hydrobates leucorhoa (del Hoyo and Collar 2014)/Oceanodroma leucorhoa (Vieillot, 1818)",#VALUE!,-120
184,Masked booby,"(Spear et al., 1995)",0,6,Npac and Spac,8.002739726,01/01/1984,31/12/1991,80,90,80,lc,"Sula dactylatra (Lesson, 1831)",0,-135
202,Sooty tern (aka Wideawake tern),"(Spear et al., 1995)",1,64,Npac and Spac,8.002739726,01/01/1984,31/12/1991,80,90,80,lc,"Onychoprion fuscatus (Linnaeus, 1766)",0,-135
228,White-faced Storm-petrel ,"(Ainley et al., 1990)",7,179,Spac,5.002739726,01/01/1984,31/12/1988,80,80,80,lc,"Pelagodroma marina (Latham, 1790)",-10,-120
233,White-faced Storm-petrel ,"(Spear et al., 1995)",11,15,Npac,8.002739726,01/01/1984,31/12/1991,80,90,80,lc,"Pelagodroma marina (Latham, 1790)",0,-135
145,Leach’s strom petrel ,"(Spear et al., 1995)",70,354,Npac and Spac,1.249315068,01/06/1984,31/08/1985,80,80,80,vu,"Hydrobates leucorhoa (del Hoyo and Collar 2014)/Oceanodroma leucorhoa (Vieillot, 1818)",0,-135
18,Black noddy ,"(Sileo et al., 1990)",1,53,Npac,1.997260274,01/01/1986,31/12/1987,80,80,80,lc,"Anous minutus (Boie, 1844)",21.43888889,-158.2
44,Brown noddy ,"(Sileo et al., 1990)",1,153,Npac,1.997260274,01/01/1986,31/12/1987,80,80,80,lc,"Anous stolidus (Linnaeus, 1758)",21.43888889,-158.2
